Snapshot,DK_2<->SE_4,NO_1<->NO_2,NO_1<->NO_3,NO_1<->NO_5,NO_1<->SE_3,NO_2<->NO_5,NO_3<->NO_4,NO_3<->NO_5,NO_3<->SE_2,NO_4<->SE_1,NO_4<->SE_2,SE_1<->SE_2,SE_2<->SE_3,SE_3<->SE_4
2023-07-03 00:00:00,-36.75,2334.77,-315.5,120.02,-1946.78,-344.56,-587.83,-76.66,115.68,266.14,88.17,644.85,2567.89,1190.54
2023-07-03 01:00:00,35.82,2298.44,-244.05,133.58,-1956.07,-289.36,-458.85,-76.35,-57.6,119.43,17.03,505.63,2205.98,974.51
2023-07-03 02:00:00,-233.02,2008.69,-109.17,139.65,-1839.79,-233.88,-382.13,-66.6,-344.69,98.68,-73.27,656.62,1954.41,1008.82
2023-07-03 03:00:00,61.690000000000005,1918.3,-10.5,244.51,-1963.88,-123.69,-185.88,-66.52,-608.91,89.14,-175.59,914.55,1765.05,630.16
2023-07-03 04:00:00,125.17,1871.45,-13.13,269.26,-1905.59,-101.36,-196.18,-67.07,-584.47,121.32,-157.19,771.3,1687.05,787.46
2023-07-03 05:00:00,-77.39,1750.96,-55.81,90.41,-1474.93,-211.27,-377.69,-66.45,-262.5,278.6,-38.25,368.07,1789.31,1345.54
2023-07-03 06:00:00,-591.55,1732.93,-290.33,-92.47,-1063.19,-329.18,-587.27,-100.98,385.91,442.12,137.64,289.56,2575.3,2137.66
2023-07-03 07:00:00,-450.54,1465.38,-375.95,-178.99,-901.78,-349.73,-835.62,-99.28,670.43,440.08,202.26,714.29,3337.86,2101.88
2023-07-03 08:00:00,-695.11,862.75,-316.37,-243.59,-463.49,-292.06,-846.07,-97.84,665.21,438.22,196.01,726.28,3305.95,2332.26
2023-07-03 09:00:00,32.45,756.52,-193.93,-147.88,-651.8,-152.06,-726.47,-96.06,433.96,381.99,175.86,-58.13,1881.95,807.84
2023-07-03 10:00:00,-84.78,426.23,-125.29,-37.12,-660.62,-155.77,-640.28,-40.76,295.27,370.12,153.18,-534.26,1066.24,205.51
2023-07-03 11:00:00,45.57,165.3,-99.22,-28.71,-469.9,-63.93,-633.17,-31.63,296.3,323.19,170.29,-798.07,595.89,-81.09
2023-07-03 12:00:00,512.41,90.46,-82.15,3.04,-484.92,-33.63,-608.0,-32.94,291.91,285.59,164.28,-899.31,375.47,-618.28
2023-07-03 13:00:00,194.13000000000002,80.39,-76.76,50.32,-449.75,19.88,-605.33,-33.06,250.01,310.5,135.95,121.83,1270.82,-218.47
2023-07-03 14:00:00,1056.3,180.05,107.65,123.96,-802.09,66.17,-479.19,-34.34,-247.82,224.05,-3.4,251.16,681.02,-1030.16
2023-07-03 15:00:00,420.29,-80.33,147.22,-58.96,-334.68,5.67,-457.57,-39.58,-227.58,190.36,-0.61,366.18,905.05,-174.83
2023-07-03 16:00:00,-31.33,422.16,-3.47,3.27,-705.31,-80.88,-548.41,-41.56,-45.57,321.51,39.28,859.25,1724.35,412.1
2023-07-03 17:00:00,-491.62,721.2,-202.15,-140.04,-488.96,-285.95,-680.31,-44.68,513.12,413.88,181.15,1380.97,3088.7,1976.49
2023-07-03 18:00:00,-792.0,802.68,-205.64,-418.11,-193.74,-480.37,-695.71,-72.69,534.18,416.8,146.52,1270.47,3622.03,3005.35
2023-07-03 19:00:00,-817.11,862.33,-221.11,-376.72,-206.45,-493.37,-736.76,-101.7,554.79,292.14,151.31,1128.78,3540.59,3105.85
2023-07-03 20:00:00,-913.93,662.03,-236.58,-427.61,97.29,-474.26,-790.62,-104.96,575.58,256.11,162.31,1123.87,3763.84,3421.33
2023-07-03 21:00:00,-914.52,628.22,-173.89,-627.52,451.67,-576.31,-727.22,-108.23,599.89,283.49,162.98,763.56,3644.96,3472.4
2023-07-03 22:00:00,-1064.47,681.78,-176.61,-659.29,485.23,-613.44,-698.48,-107.82,598.2,309.63,155.96,821.77,3577.31,3532.31
2023-07-03 23:00:00,-1000.16,859.81,-208.97,-474.89,191.03,-572.81,-753.92,-107.23,536.84,277.32,169.25,974.39,3428.4,3306.96
